Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0.481667,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.483333,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.485,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.486667,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.488333,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.49,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
0.491667,0,0,0,0,0,2.21707,-0.000378618,0,-0.000378618,0,0,0,1
0.493333,0,0,0,0,0,2.21707,-0.000378618,0,-0.000378618,0,0,0,1
0.495,0,0,0,0,0,2.21707,-0.000378618,0,-0.000378618,0,0,0,1
0.496667,0,0,0,0,0,2.21707,-0.000378618,0,-0.000378618,0,0,0,1
0.498333,0,0,0,0,0,2.21707,-0.000378618,0,-0.000378618,0,0,0,1
0.5,0,0,0,0,0,nan,-0.000378618,0,-0.000378618,0,0,0,1
0.501667,0,0,0,0,0,nan,-0.000378618,0,-0.000378618,0,0,0,1
0.503333,0,0,0,0,0,nan,-0.000378618,0,-0.000378618,0,0,0,1
0.505,0,0,0,0,0,nan,-0.000378618,0,-0.000378618,0,0,0,1
0.506667,0,0,0,0,0,nan,-0.000378618,0,-0.000378618,0,0,0,1
0.508333,0,0,0,0,0,nan,0.000300797,0,0.000300797,0,0,0,1
0.51,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.511667,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.513333,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.515,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.516667,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.518333,0,0,0,0,0,1.15105,0.000300797,0,0.000300797,0,0,0,1
0.52,0,0,0,0,0,2.18256,0.000300797,0,0.000300797,0,0,0,1
0.521667,0,0,0,0,0,2.18256,0.000300797,0,0.000300797,0,0,0,1
